"","x"
"203","B-cells"
"204","CD8+ T-cells"
"205","CD4+ T-cells"
"206","CD8+ T-cells"
"207","B-cells"
"208","Monocytes"
"209","HSC"
"210","Monocytes"
"211","CD8+ T-cells"
"212","Monocytes"
"213","CD8+ T-cells"
"214","Monocytes"
"215","B-cells"
"216","CD8+ T-cells"
"217","Monocytes"
"218","CD4+ T-cells"
"219","Monocytes"
"220","CD8+ T-cells"
"221","CD8+ T-cells"
"222","CD8+ T-cells"
"223","CD8+ T-cells"
"224","CD4+ T-cells"
"225","B-cells"
"226","CD4+ T-cells"
"227","CD4+ T-cells"
"228","B-cells"
"229","B-cells"
"230","CD4+ T-cells"
"231","B-cells"
"232","CD8+ T-cells"
"233","CD4+ T-cells"
"234","CD8+ T-cells"
"235","CD8+ T-cells"
"236","CD4+ T-cells"
"237","CD8+ T-cells"
"238","Monocytes"
"239","CD8+ T-cells"
"240","CD4+ T-cells"
"241","CD8+ T-cells"
"242","CD4+ T-cells"
"243","Monocytes"
"244","NK cells"
"245","CD8+ T-cells"
"246","Monocytes"
"247","CD4+ T-cells"
"248","B-cells"
"249","CD8+ T-cells"
"250","Monocytes"
"251","CD8+ T-cells"
"252","CD8+ T-cells"
"253","CD8+ T-cells"
"254","CD4+ T-cells"
"255","CD8+ T-cells"
"256","CD8+ T-cells"
"257","Monocytes"
"258","CD8+ T-cells"
"259","CD4+ T-cells"
"260","CD8+ T-cells"
"261","CD8+ T-cells"
"262","Monocytes"
"263","Monocytes"
"264","B-cells"
"265","CD8+ T-cells"
"266","B-cells"
"267","CD8+ T-cells"
"268","B-cells"
"269","CD4+ T-cells"
"270","CD4+ T-cells"
"271","CD4+ T-cells"
"272","CD4+ T-cells"
"273","CD4+ T-cells"
"274","CD4+ T-cells"
"275","Monocytes"
"276","CD8+ T-cells"
"277","CD8+ T-cells"
"278","Monocytes"
"279","CD8+ T-cells"
"280","CD8+ T-cells"
"281","CD4+ T-cells"
"282","Monocytes"
"283","CD8+ T-cells"
"284","CD8+ T-cells"
"285","CD8+ T-cells"
"286","B-cells"
"287","CD8+ T-cells"
"288","B-cells"
"289","B-cells"
"290","CD8+ T-cells"
"291","Monocytes"
"292","CD4+ T-cells"
"293","Monocytes"
"294","CD4+ T-cells"
"295","NK cells"
"296","CD8+ T-cells"
"297","B-cells"
"298","CD8+ T-cells"
"299","CD8+ T-cells"
"300","CD4+ T-cells"
"301","Monocytes"
"302","CD4+ T-cells"
"303","B-cells"
"304","NK cells"
"305","CD4+ T-cells"
"306","CD8+ T-cells"
"307","Monocytes"
"308","CD8+ T-cells"
"309","CD4+ T-cells"
"310","CD8+ T-cells"
"311","CD4+ T-cells"
"312","Monocytes"
"313","CD8+ T-cells"
"314","CD8+ T-cells"
"315","CD4+ T-cells"
"316","CD8+ T-cells"
"317","Monocytes"
"318","CD4+ T-cells"
"319","NK cells"
"320","CD4+ T-cells"
"321","NK cells"
"322","B-cells"
"323","CD4+ T-cells"
"324","CD4+ T-cells"
"325","HSC"
"326","CD8+ T-cells"
"327","Monocytes"
"328","CD4+ T-cells"
"329","Monocytes"
"330","CD8+ T-cells"
"331","CD8+ T-cells"
"332","CD4+ T-cells"
"333","CD8+ T-cells"
"334","CD8+ T-cells"
"335","CD8+ T-cells"
"336","B-cells"
"337","CD4+ T-cells"
"338","B-cells"
"339","B-cells"
"340","B-cells"
"341","CD4+ T-cells"
"342","CD8+ T-cells"
"343","CD4+ T-cells"
"344","CD4+ T-cells"
"345","CD4+ T-cells"
"346","B-cells"
"347","CD8+ T-cells"
"348","B-cells"
"349","CD8+ T-cells"
"350","NK cells"
"351","CD4+ T-cells"
"352","CD8+ T-cells"
"353","B-cells"
"354","CD4+ T-cells"
"355","CD8+ T-cells"
"356","NK cells"
"357","Monocytes"
"358","CD8+ T-cells"
"359","CD8+ T-cells"
"360","CD8+ T-cells"
"361","CD4+ T-cells"
"362","B-cells"
"363","Monocytes"
"364","CD4+ T-cells"
"365","CD4+ T-cells"
"366","CD4+ T-cells"
"367","Monocytes"
"368","CD4+ T-cells"
"369","Monocytes"
"370","B-cells"
"371","B-cells"
"372","CD8+ T-cells"
"373","CD4+ T-cells"
"374","CD4+ T-cells"
"375","Monocytes"
"376","CD8+ T-cells"
"377","Monocytes"
"378","CD8+ T-cells"
"379","CD4+ T-cells"
"380","CD4+ T-cells"
"381","B-cells"
"382","Monocytes"
"383","B-cells"
"384","CD4+ T-cells"
"385","CD4+ T-cells"
"386","CD4+ T-cells"
"387","CD4+ T-cells"
"388","Monocytes"
"389","CD8+ T-cells"
"390","CD4+ T-cells"
"391","CD4+ T-cells"
"392","CD8+ T-cells"
"393","B-cells"
"394","CD8+ T-cells"
"395","CD8+ T-cells"
"396","CD4+ T-cells"
"397","CD4+ T-cells"
"398","B-cells"
"399","Monocytes"
"400","CD8+ T-cells"
"401","NK cells"
"402","NK cells"
"403","CD8+ T-cells"
"404","B-cells"
"405","CD8+ T-cells"
"406","B-cells"
"407","NK cells"
"408","CD8+ T-cells"
"409","CD8+ T-cells"
"410","Monocytes"
"411","B-cells"
"412","B-cells"
"413","B-cells"
"414","CD8+ T-cells"
"415","B-cells"
"416","CD8+ T-cells"
"417","B-cells"
"418","CD8+ T-cells"
"419","CD4+ T-cells"
"420","B-cells"
"421","Monocytes"
"422","CD4+ T-cells"
"423","B-cells"
"424","CD8+ T-cells"
"425","Monocytes"
"426","CD8+ T-cells"
"427","CD4+ T-cells"
"428","CD4+ T-cells"
"429","CD8+ T-cells"
"430","CD8+ T-cells"
"431","B-cells"
"432","B-cells"
"433","CD4+ T-cells"
"434","CD8+ T-cells"
"435","CD4+ T-cells"
"436","B-cells"
"437","CD8+ T-cells"
"438","Monocytes"
"439","CD8+ T-cells"
"440","B-cells"
"441","CD8+ T-cells"
"442","CD8+ T-cells"
"443","B-cells"
"444","NK cells"
"445","CD4+ T-cells"
"446","CD8+ T-cells"
"447","Monocytes"
"448","CD8+ T-cells"
"449","Monocytes"
"450","NK cells"
"451","Monocytes"
"452","Monocytes"
"453","Monocytes"
"454","CD4+ T-cells"
"455","CD4+ T-cells"
"456","B-cells"
"457","CD8+ T-cells"
"458","Monocytes"
"459","CD4+ T-cells"
"460","CD4+ T-cells"
"461","CD8+ T-cells"
"462","NK cells"
"463","B-cells"
"464","B-cells"
"465","B-cells"
"466","CD4+ T-cells"
"467","NK cells"
"468","Monocytes"
"469","CD8+ T-cells"
"470","CD8+ T-cells"
"471","CD8+ T-cells"
"472","CD8+ T-cells"
"473",NA
"474","CD8+ T-cells"
"475","CD8+ T-cells"
"476","CD4+ T-cells"
"477","CD8+ T-cells"
"478","B-cells"
"479","CD8+ T-cells"
"480","CD8+ T-cells"
"481","CD8+ T-cells"
"482","CD8+ T-cells"
"483","CD4+ T-cells"
"484","B-cells"
"485","Monocytes"
"486","CD4+ T-cells"
"487","CD8+ T-cells"
"488","CD8+ T-cells"
"489","Monocytes"
"490","CD4+ T-cells"
"491","CD8+ T-cells"
"492","CD8+ T-cells"
"493","Monocytes"
"494","CD8+ T-cells"
"495","Monocytes"
"496","Monocytes"
"497","Monocytes"
"498","B-cells"
"499","CD8+ T-cells"
"500","CD8+ T-cells"
"501","CD4+ T-cells"
"502","CD4+ T-cells"
"503","CD4+ T-cells"
"504","Monocytes"
"505","CD4+ T-cells"
"506","CD8+ T-cells"
"507","CD4+ T-cells"
"508","CD8+ T-cells"
"509","B-cells"
"510","B-cells"
"511","CD8+ T-cells"
"512","CD8+ T-cells"
"513","CD8+ T-cells"
"514","CD4+ T-cells"
"515","CD8+ T-cells"
"516","NK cells"
"517","B-cells"
"518","CD4+ T-cells"
"519","Monocytes"
"520","Monocytes"
"521","CD8+ T-cells"
"522","CD8+ T-cells"
"523","Monocytes"
"524","CD4+ T-cells"
"525","CD8+ T-cells"
"526","CD4+ T-cells"
"527","CD8+ T-cells"
"528","CD8+ T-cells"
"529","Monocytes"
"530","Monocytes"
"531","CD8+ T-cells"
"532","B-cells"
"533","CD4+ T-cells"
"534","CD8+ T-cells"
"535","Monocytes"
"536","CD4+ T-cells"
"537","CD4+ T-cells"
"538","CD8+ T-cells"
"539","CD8+ T-cells"
"540","CD4+ T-cells"
"541","Monocytes"
"542","B-cells"
"543","B-cells"
"544","Monocytes"
"545","CD4+ T-cells"
"546","CD4+ T-cells"
"547","CD4+ T-cells"
"548","CD4+ T-cells"
"549","CD4+ T-cells"
"550","B-cells"
"551","CD8+ T-cells"
"552","CD4+ T-cells"
"553","Monocytes"
"554","CD4+ T-cells"
"555","B-cells"
"556","CD8+ T-cells"
"557","B-cells"
"558","CD4+ T-cells"
"559","CD8+ T-cells"
"560","CD8+ T-cells"
"561","CD8+ T-cells"
"562","Monocytes"
"563","CD4+ T-cells"
"564","B-cells"
"565","B-cells"
"566","CD8+ T-cells"
"567","CD8+ T-cells"
"568","Monocytes"
"569","CD8+ T-cells"
"570","CD8+ T-cells"
"571","CD4+ T-cells"
"572","CD8+ T-cells"
"573","B-cells"
"574","CD8+ T-cells"
"575","CD8+ T-cells"
"576","CD8+ T-cells"
"577","CD8+ T-cells"
"578","B-cells"
"579","NK cells"
"580","CD4+ T-cells"
"581","CD8+ T-cells"
"582","B-cells"
"583","CD4+ T-cells"
"584","CD8+ T-cells"
"585","Monocytes"
"586","B-cells"
"587","CD8+ T-cells"
"588","Monocytes"
"589","Monocytes"
"590","CD8+ T-cells"
"591","CD8+ T-cells"
"592","B-cells"
"593","B-cells"
"594","Monocytes"
"595","CD8+ T-cells"
"596","B-cells"
"597","Monocytes"
"598","CD4+ T-cells"
"599","Monocytes"
"600","Monocytes"
"601","B-cells"
"602","CD4+ T-cells"
"603","CD8+ T-cells"
"604","Monocytes"
"605","CD8+ T-cells"
"606","CD4+ T-cells"
"607","CD8+ T-cells"
"608","CD8+ T-cells"
"609","CD4+ T-cells"
"610","NK cells"
"611","Monocytes"
"612","B-cells"
"613","NK cells"
"614","CD4+ T-cells"
"615","CD4+ T-cells"
"616","Monocytes"
"617","Monocytes"
"618","NK cells"
"619","Monocytes"
"620","CD8+ T-cells"
"621","Monocytes"
"622","CD4+ T-cells"
"623","CD8+ T-cells"
"624","CD4+ T-cells"
"625","CD4+ T-cells"
"626",NA
"627","CD4+ T-cells"
"628","B-cells"
"629","CD8+ T-cells"
"630","Monocytes"
"631","CD4+ T-cells"
"632","B-cells"
"633","Monocytes"
"634","CD8+ T-cells"
"635","B-cells"
"636","CD4+ T-cells"
"637","CD8+ T-cells"
"638","CD8+ T-cells"
"639","CD4+ T-cells"
"640","NK cells"
"641","Monocytes"
"642","Monocytes"
"643","Monocytes"
"644","CD4+ T-cells"
"645","CD4+ T-cells"
"646","CD4+ T-cells"
"647","Monocytes"
"648","Monocytes"
"649","CD8+ T-cells"
"650","B-cells"
"651","CD8+ T-cells"
"652","B-cells"
"653","CD8+ T-cells"
"654","CD4+ T-cells"
"655","CD4+ T-cells"
"656","CD4+ T-cells"
"657","CD8+ T-cells"
"658","Monocytes"
"659","CD4+ T-cells"
"660","CD8+ T-cells"
"661","CD8+ T-cells"
"662","CD8+ T-cells"
"663","Monocytes"
"664","CD8+ T-cells"
"665","CD8+ T-cells"
"666","Monocytes"
"667","B-cells"
"668","B-cells"
"669","CD8+ T-cells"
"670","CD8+ T-cells"
"671","CD8+ T-cells"
"672","Monocytes"
"673","CD8+ T-cells"
"674","Monocytes"
"675","Monocytes"
"676","B-cells"
"677","CD8+ T-cells"
"678","Monocytes"
"679","Monocytes"
"680","B-cells"
"681","Monocytes"
"682","CD8+ T-cells"
"683","CD8+ T-cells"
"684","B-cells"
"685","B-cells"
"686","CD8+ T-cells"
"687","CD8+ T-cells"
"688","Monocytes"
"689","Monocytes"
"690","CD4+ T-cells"
"691","B-cells"
"692","CD8+ T-cells"
"693","CD8+ T-cells"
"694","CD4+ T-cells"
"695","B-cells"
"696","Monocytes"
"697","B-cells"
"698","CD4+ T-cells"
"699","CD8+ T-cells"
"700","Monocytes"
"701","CD8+ T-cells"
"702","CD8+ T-cells"
"703","Monocytes"
"704","Monocytes"
"705","CD8+ T-cells"
"706","B-cells"
"707","CD4+ T-cells"
"708","B-cells"
"709","CD8+ T-cells"
"710","Monocytes"
"711","Monocytes"
"712","CD8+ T-cells"
"713","CD8+ T-cells"
"714","CD8+ T-cells"
"715","CD8+ T-cells"
"716","CD4+ T-cells"
"717","CD8+ T-cells"
"718","B-cells"
"719","CD8+ T-cells"
"720","B-cells"
"721","NK cells"
"722","CD4+ T-cells"
"723","Monocytes"
"724","B-cells"
"725","CD8+ T-cells"
"726","CD8+ T-cells"
"727","CD8+ T-cells"
"728","Monocytes"
"729","CD4+ T-cells"
"730","Monocytes"
"731","CD4+ T-cells"
"732","CD8+ T-cells"
"733","CD8+ T-cells"
"734","NK cells"
"735","CD4+ T-cells"
"736","CD4+ T-cells"
"737","B-cells"
"738","CD8+ T-cells"
"739","CD8+ T-cells"
"740",NA
"741","B-cells"
"742","CD8+ T-cells"
"743","B-cells"
"744","CD4+ T-cells"
"745","Monocytes"
"746","CD8+ T-cells"
"747","Monocytes"
"748","NK cells"
"749","Monocytes"
"750","B-cells"
"751","Monocytes"
"752","CD8+ T-cells"
"753","B-cells"
"754","CD8+ T-cells"
"755","CD8+ T-cells"
"756","CD8+ T-cells"
"757","NK cells"
"758","CD8+ T-cells"
"759","NK cells"
"760","B-cells"
"761","CD8+ T-cells"
"762","CD8+ T-cells"
"763","Monocytes"
"764","NK cells"
"765","B-cells"
"766","CD8+ T-cells"
"767","Monocytes"
"768","CD4+ T-cells"
"769","CD8+ T-cells"
"770","CD8+ T-cells"
"771","B-cells"
"772","Monocytes"
"773","Monocytes"
"774","CD8+ T-cells"
"775","CD8+ T-cells"
"776","CD4+ T-cells"
"777","CD4+ T-cells"
"778","CD8+ T-cells"
"779","CD4+ T-cells"
"780","CD8+ T-cells"
"781","B-cells"
"782","CD8+ T-cells"
"783","CD8+ T-cells"
"784","NK cells"
"785","CD4+ T-cells"
"786","CD8+ T-cells"
"787","B-cells"
"788","B-cells"
"789","CD8+ T-cells"
"790","NK cells"
"791","CD4+ T-cells"
"792","CD4+ T-cells"
"793","CD8+ T-cells"
"794","CD8+ T-cells"
"795","B-cells"
"796","CD8+ T-cells"
"797","CD8+ T-cells"
"798","CD8+ T-cells"
"799","B-cells"
"800","CD8+ T-cells"
"801","CD8+ T-cells"
"802","CD8+ T-cells"
"803","Monocytes"
"804","B-cells"
"805","Monocytes"
"806","CD8+ T-cells"
"807","Monocytes"
"808","CD8+ T-cells"
"809","CD4+ T-cells"
"810","CD8+ T-cells"
"811","Monocytes"
"812","CD4+ T-cells"
"813","Monocytes"
"814","CD8+ T-cells"
"815","CD8+ T-cells"
"816","CD8+ T-cells"
"817","CD8+ T-cells"
"818","CD4+ T-cells"
"819","Monocytes"
"820","CD4+ T-cells"
"821","CD4+ T-cells"
"822","CD4+ T-cells"
"823","CD8+ T-cells"
"824","Monocytes"
"825","Monocytes"
"826","Monocytes"
"827","CD4+ T-cells"
"828","CD8+ T-cells"
"829","B-cells"
"830","CD4+ T-cells"
"831","CD8+ T-cells"
"832","CD8+ T-cells"
"833","CD8+ T-cells"
"834","CD8+ T-cells"
"835","Monocytes"
"836","CD8+ T-cells"
"837","CD8+ T-cells"
"838","Monocytes"
"839","B-cells"
"840","B-cells"
"841","CD4+ T-cells"
"842","Monocytes"
"843","CD8+ T-cells"
"844","CD8+ T-cells"
"845","Monocytes"
"846","Monocytes"
"847","CD4+ T-cells"
"848","CD8+ T-cells"
"849","Monocytes"
"850","CD4+ T-cells"
"851","NK cells"
"852","Monocytes"
"853",NA
"854","Monocytes"
"855","Monocytes"
"856","Monocytes"
"857","CD8+ T-cells"
"858","CD8+ T-cells"
"859","CD8+ T-cells"
"860","CD4+ T-cells"
"861","B-cells"
"862","CD8+ T-cells"
"863","CD4+ T-cells"
"864","B-cells"
"865","CD8+ T-cells"
"866","CD8+ T-cells"
"867","B-cells"
"868","CD4+ T-cells"
"869","NK cells"
"870","NK cells"
"871","Monocytes"
"872","CD8+ T-cells"
"873","B-cells"
"874","CD8+ T-cells"
"875","B-cells"
"876","CD4+ T-cells"
"877","Monocytes"
"878","CD8+ T-cells"
"879","Monocytes"
"880","CD4+ T-cells"
"881","CD8+ T-cells"
"882","CD8+ T-cells"
"883","Monocytes"
"884","CD4+ T-cells"
"885","B-cells"
"886","CD8+ T-cells"
"887","Monocytes"
"888","CD8+ T-cells"
"889","Monocytes"
"890","B-cells"
"891","B-cells"
"892","CD8+ T-cells"
"893","CD8+ T-cells"
"894","CD8+ T-cells"
"895","B-cells"
"896","CD8+ T-cells"
"897","CD8+ T-cells"
"898","B-cells"
"899","CD8+ T-cells"
"900","Monocytes"
"901","CD8+ T-cells"
"902","CD4+ T-cells"
"903","Monocytes"
"904","CD8+ T-cells"
"905","CD8+ T-cells"
"906","CD8+ T-cells"
"907","NK cells"
"908","CD8+ T-cells"
"909","CD8+ T-cells"
"910","Monocytes"
"911","CD4+ T-cells"
"912","CD4+ T-cells"
"913","CD8+ T-cells"
"914","CD4+ T-cells"
"915","CD8+ T-cells"
"916","Monocytes"
"917","Monocytes"
"918","CD4+ T-cells"
"919","CD8+ T-cells"
"920","CD4+ T-cells"
"921","CD4+ T-cells"
"922","B-cells"
"923","CD4+ T-cells"
"924","CD8+ T-cells"
"925","CD8+ T-cells"
"926","CD8+ T-cells"
"927","CD8+ T-cells"
"928","Monocytes"
"929","Monocytes"
"930","CD8+ T-cells"
"931","CD4+ T-cells"
"932","B-cells"
"933","CD4+ T-cells"
"934","CD4+ T-cells"
"935","Monocytes"
"936","Monocytes"
"937","CD4+ T-cells"
"938","B-cells"
"939","B-cells"
"940","CD8+ T-cells"
"941","CD4+ T-cells"
"942","Monocytes"
"943","B-cells"
"944","CD8+ T-cells"
"945","CD8+ T-cells"
"946","CD8+ T-cells"
"947","CD8+ T-cells"
"948","NK cells"
"949","Monocytes"
"950","CD8+ T-cells"
"951","CD8+ T-cells"
"952","Monocytes"
"953","CD8+ T-cells"
"954","CD4+ T-cells"
"955","CD8+ T-cells"
"956","CD8+ T-cells"
"957","Monocytes"
"958","B-cells"
"959","CD8+ T-cells"
"960","CD8+ T-cells"
"961","CD4+ T-cells"
"962","CD4+ T-cells"
"963","Monocytes"
"964","B-cells"
"965","CD8+ T-cells"
"966","Monocytes"
"967","Monocytes"
"968","CD8+ T-cells"
"969","B-cells"
"970","CD8+ T-cells"
"971","B-cells"
"972","CD4+ T-cells"
"973","CD4+ T-cells"
"974","B-cells"
"975","CD8+ T-cells"
"976","NK cells"
"977","Monocytes"
"978","Monocytes"
"979","CD8+ T-cells"
"980","CD4+ T-cells"
"981","CD4+ T-cells"
"982","CD8+ T-cells"
"983","CD8+ T-cells"
"984","CD8+ T-cells"
"985","B-cells"
"986","CD4+ T-cells"
"987","Monocytes"
"988","CD4+ T-cells"
"989","CD4+ T-cells"
"990","CD4+ T-cells"
"991","CD8+ T-cells"
"992","B-cells"
"993","Monocytes"
"994","CD4+ T-cells"
"995","CD8+ T-cells"
"996","CD8+ T-cells"
"997","CD8+ T-cells"
"998","CD8+ T-cells"
"999","B-cells"
"1000","CD4+ T-cells"
"1001","Monocytes"
"1002","Monocytes"
"1003","CD8+ T-cells"
"1004","CD8+ T-cells"
"1005","CD8+ T-cells"
"1006","CD8+ T-cells"
"1007","CD4+ T-cells"
"1008","CD8+ T-cells"
"1009","CD8+ T-cells"
"1010","CD8+ T-cells"
"1011","B-cells"
"1012","CD8+ T-cells"
"1013","CD4+ T-cells"
"1014","NK cells"
"1015","CD8+ T-cells"
"1016","CD4+ T-cells"
"1017","Monocytes"
"1018","CD4+ T-cells"
"1019","B-cells"
"1020","Monocytes"
"1021","B-cells"
"1022","NK cells"
"1023","CD4+ T-cells"
"1024","CD8+ T-cells"
"1025","CD8+ T-cells"
"1026","B-cells"
"1027","B-cells"
"1028","CD4+ T-cells"
"1029","Monocytes"
"1030","CD4+ T-cells"
"1031","CD4+ T-cells"
"1032","CD8+ T-cells"
"1033","B-cells"
"1034","CD8+ T-cells"
"1035","Monocytes"
"1036","CD4+ T-cells"
"1037","Monocytes"
"1038","CD8+ T-cells"
"1039","Monocytes"
"1040","Monocytes"
"1041","Monocytes"
"1042","Monocytes"
"1043","B-cells"
"1044","B-cells"
"1045","CD4+ T-cells"
"1046","B-cells"
"1047","CD8+ T-cells"
"1048","CD4+ T-cells"
"1049","Monocytes"
"1050","B-cells"
"1051","CD8+ T-cells"
"1052","CD8+ T-cells"
"1053","NK cells"
"1054","Monocytes"
"1055","CD8+ T-cells"
"1056","CD4+ T-cells"
"1057","CD4+ T-cells"
"1058","CD8+ T-cells"
"1059","CD8+ T-cells"
"1060","Monocytes"
"1061","Monocytes"
"1062","Monocytes"
"1063","CD8+ T-cells"
"1064","B-cells"
"1065","CD8+ T-cells"
"1066","Monocytes"
"1067","CD8+ T-cells"
"1068","CD8+ T-cells"
"1069","CD8+ T-cells"
"1070","Monocytes"
"1071","Monocytes"
"1072","Monocytes"
"1073","CD4+ T-cells"
"1074","CD4+ T-cells"
"1075","CD8+ T-cells"
"1076","CD8+ T-cells"
"1077","Monocytes"
"1078","CD8+ T-cells"
"1079","Monocytes"
"1080","CD8+ T-cells"
"1081","CD8+ T-cells"
"1082","Monocytes"
"1083","Monocytes"
"1084","CD8+ T-cells"
"1085","CD8+ T-cells"
"1086","Monocytes"
"1087","Monocytes"
"1088","Monocytes"
"1089","Monocytes"
"1090","CD4+ T-cells"
"1091","CD8+ T-cells"
"1092","CD8+ T-cells"
"1093","CD8+ T-cells"
"1094","CD4+ T-cells"
"1095","B-cells"
"1096","CD8+ T-cells"
"1097","B-cells"
"1098","CD8+ T-cells"
"1099","Monocytes"
"1100","B-cells"
"1101","CD8+ T-cells"
"1102","B-cells"
"1103","Monocytes"
"1104","CD8+ T-cells"
"1105","CD4+ T-cells"
"1106","CD8+ T-cells"
"1107","Monocytes"
"1108","Monocytes"
"1109","CD8+ T-cells"
"1110","B-cells"
"1111","CD4+ T-cells"
"1112","Monocytes"
"1113","B-cells"
"1114","CD4+ T-cells"
"1115","CD8+ T-cells"
"1116","CD4+ T-cells"
"1117","B-cells"
"1118","CD8+ T-cells"
"1119","B-cells"
"1120","NK cells"
"1121","CD8+ T-cells"
"1122","CD8+ T-cells"
"1123","B-cells"
"1124","CD4+ T-cells"
"1125","B-cells"
"1126","Monocytes"
"1127","B-cells"
"1128","NK cells"
"1129","Monocytes"
"1130","CD8+ T-cells"
"1131","CD4+ T-cells"
"1132","NK cells"
"1133","B-cells"
"1134","CD8+ T-cells"
"1135","CD8+ T-cells"
"1136","B-cells"
"1137","CD4+ T-cells"
"1138","Monocytes"
"1139","CD8+ T-cells"
"1140","CD4+ T-cells"
"1141","B-cells"
"1142","CD8+ T-cells"
"1143","Monocytes"
"1144","CD8+ T-cells"
